                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.66072,                0.37784,                0.88824,                0.99941,                      1,                  0.995,                0.74198,                0.93997,                0.38029,                0.95734,               0.000614,               0.000614,               0.000614
                     73,                0.65801,                0.37018,                0.88042,                      1,                0.99937,                  0.995,                0.73638,                0.93971,                0.39006,                 0.9557,              0.0005942,              0.0005942,              0.0005942
                     74,                0.66107,                0.37569,                0.88445,                0.99843,                      1,                  0.995,                0.74029,                0.96602,                0.38509,                0.96523,              0.0005744,              0.0005744,              0.0005744
                     75,                0.64227,                0.36655,                0.87594,                0.99713,                      1,                  0.995,                0.75611,                0.93005,                0.36929,                0.95562,              0.0005546,              0.0005546,              0.0005546
                     76,                0.63951,                0.36149,                0.87616,                0.99906,                      1,                  0.995,                0.75363,                0.92275,                0.36946,                0.95601,              0.0005348,              0.0005348,              0.0005348
                     77,                0.63162,                0.35096,                0.87941,                 0.9994,                      1,                  0.995,                0.75503,                0.91127,                0.36723,                0.94967,               0.000515,               0.000515,               0.000515
                     78,                0.61792,                0.35206,                0.87746,                0.99956,                      1,                  0.995,                0.75262,                0.92501,                0.36132,                0.95378,              0.0004952,              0.0004952,              0.0004952
                     79,                0.61846,                0.34326,                0.87258,                0.99959,                      1,                  0.995,                0.74627,                0.95867,                0.37166,                0.96984,              0.0004754,              0.0004754,              0.0004754
                     80,                  0.603,                0.33994,                0.86998,                0.99966,                      1,                  0.995,                  0.759,                0.91581,                0.35967,                0.95345,              0.0004556,              0.0004556,              0.0004556
                     81,                0.61166,                0.34348,                0.87516,                0.99962,                      1,                  0.995,                0.75607,                0.92443,                0.36127,                0.95348,              0.0004358,              0.0004358,              0.0004358
                     82,                0.61886,                0.34264,                0.87632,                0.99962,                      1,                  0.995,                0.76024,                0.89618,                0.35017,                0.93925,               0.000416,               0.000416,               0.000416
                     83,                0.58949,                0.33645,                0.87112,                0.99959,                      1,                  0.995,                0.76155,                0.90106,                0.34931,                0.94231,              0.0003962,              0.0003962,              0.0003962
                     84,                0.59597,                0.33541,                0.87357,                0.99951,                      1,                  0.995,                0.76614,                0.87588,                0.34058,                0.93338,              0.0003764,              0.0003764,              0.0003764
                     85,                 0.5976,                0.33486,                0.87255,                0.99955,                      1,                  0.995,                0.76716,                0.88478,                0.34296,                0.93992,              0.0003566,              0.0003566,              0.0003566
                     86,                0.58976,                0.33663,                0.86791,                 0.9995,                      1,                  0.995,                0.76622,                0.88073,                0.34649,                0.93833,              0.0003368,              0.0003368,              0.0003368
                     87,                0.58559,                0.33009,                0.87064,                0.99955,                      1,                  0.995,                0.76909,                0.89528,                0.34807,                0.94189,               0.000317,               0.000317,               0.000317
                     88,                0.57891,                0.32443,                0.86292,                0.99952,                      1,                  0.995,                0.76286,                0.89656,                0.34338,                0.94234,              0.0002972,              0.0002972,              0.0002972
